trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.75, 'e': 4.0}",20,0,-89.24633861286136,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
164,False,"{'a': 0.75, 'e': 4.0}",20,0,-40.739957116304346,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
165,False,"{'a': 0.75, 'e': 4.0}",30,0,-99.38694886466797,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
166,False,"{'a': 0.75, 'e': 4.0}",35,4,-117.38250020326574,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 1}",1
167,False,"{'a': 0.75, 'e': 4.0}",20,0,-238.563556236644,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 4}",0
168,False,"{'a': 0.75, 'e': 4.0}",30,0,-177.19496556505263,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
169,False,"{'a': 0.75, 'e': 4.0}",25,0,-159.08215733933548,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
170,False,"{'a': 0.75, 'e': 4.0}",25,0,-63.44806819741979,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
171,False,"{'a': 0.75, 'e': 4.0}",30,0,-121.7080526816944,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
172,False,"{'a': 0.75, 'e': 4.0}",20,0,-141.0606285655964,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
173,False,"{'a': 0.75, 'e': 4.0}",25,0,-155.12897623189656,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
174,False,"{'a': 0.75, 'e': 4.0}",25,12,6.141389515652808,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 4.0}",20,0,-85.17100817825049,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.75, 'e': 4.0}",20,0,-126.98894812957151,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
177,False,"{'a': 0.75, 'e': 4.0}",30,0,-115.9314400925945,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
178,False,"{'a': 0.75, 'e': 4.0}",30,0,-145.96461240510536,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
179,False,"{'a': 0.75, 'e': 4.0}",35,0,-180.7783356597639,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
180,False,"{'a': 0.75, 'e': 4.0}",25,0,-104.52045484585508,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 0.75, 'e': 4.0}",25,0,-122.9460345566686,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
182,False,"{'a': 0.75, 'e': 4.0}",30,0,-306.07340951507337,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 5}",0
183,False,"{'a': 0.75, 'e': 4.0}",25,0,-95.71491850986217,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
184,False,"{'a': 0.75, 'e': 4.0}",20,0,-29.4756697064218,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
185,False,"{'a': 0.75, 'e': 4.0}",25,0,-84.6119023650727,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
186,False,"{'a': 0.75, 'e': 4.0}",35,0,-68.31469756970479,"{0: 26, 1: 4, 2: 4, 3: 0, 4: 1}",0
187,False,"{'a': 0.75, 'e': 4.0}",20,0,-155.85136107442653,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
188,False,"{'a': 0.75, 'e': 4.0}",25,0,-115.77732685398848,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
189,False,"{'a': 0.75, 'e': 4.0}",20,0,-180.09766600816528,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
190,False,"{'a': 0.75, 'e': 4.0}",25,0,-31.32516819115442,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
191,False,"{'a': 0.75, 'e': 4.0}",30,0,-151.377284607867,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",1
192,False,"{'a': 0.75, 'e': 4.0}",25,0,-73.64042303108951,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
193,False,"{'a': 0.75, 'e': 4.0}",25,0,-139.00093844894104,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
194,False,"{'a': 0.75, 'e': 4.0}",20,9,-37.75786704440986,"{0: 5, 1: 3, 2: 3, 3: 0, 4: 0}",1
195,False,"{'a': 0.75, 'e': 4.0}",25,0,-76.94776204292793,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
196,False,"{'a': 0.75, 'e': 4.0}",25,0,-256.51260158882826,"{0: 8, 1: 2, 2: 10, 3: 2, 4: 3}",0
197,False,"{'a': 0.75, 'e': 4.0}",25,0,-75.01302946822462,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
198,False,"{'a': 0.75, 'e': 4.0}",25,0,-137.31447286263224,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
199,False,"{'a': 0.75, 'e': 4.0}",20,11,-62.66144547036278,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
